Year,st,State,Gini
1917,1,Alabama,0.399791867
1917,3,Arizona,0.399657935
1917,4,Arkansas,0.376482785
1917,5,California,0.449362546
1917,6,Colorado,0.438901246
1917,7,Connecticut,0.53154701
1917,8,Delaware,0.727728069
1917,9,District of Columbia,0.482478231
1917,10,Florida,0.397961587
1917,11,Georgia,0.388794899
1917,13,Idaho,0.34610495
1917,14,Illinois,0.487053216
1917,15,Indiana,0.383764029
1917,16,Iowa,0.300658852
1917,17,Kansas,0.366322577
1917,18,Kentucky,0.422666013
1917,19,Louisiana,0.466088861
1917,20,Maine,0.483965099
1917,21,Maryland,0.50558567
1917,22,Massachusetts,0.580388665
1917,23,Michigan,0.489041418
1917,24,Minnesota,0.445720136
1917,25,Mississippi,0.436748475
1917,26,Missouri,0.46901077
1917,27,Montana,0.354874611
1917,28,Nebraska,0.305532992
1917,29,Nevada,0.31527397
1917,30,New Hampshire,0.48403284
1917,31,New Jersey,0.512200654
1917,32,New Mexico,0.41891861
1917,33,New York,0.629399717
1917,34,North Carolina,0.430408478
1917,35,North Dakota,0.27694726
1917,36,Ohio,0.518598914
1917,37,Oklahoma,0.418078631
1917,38,Oregon,0.425189465
1917,39,Pennsylvania,0.559789479
1917,40,Rhode Island,0.606528938
1917,41,South Carolina,0.368056834
1917,42,South Dakota,0.240189657
1917,43,Tennessee,0.416278571
1917,44,Texas,0.415792108
1917,45,Utah,0.422347099
1917,46,Vermont,0.510027111
1917,47,Virginia,0.435853481
1917,48,Washington,0.397824198
1917,49,West Virginia,0.482665241
1917,50,Wisconsin,0.441684961
1917,51,Wyoming,0.428996444
1918,0,United States,0.441236973
1918,1,Alabama,0.346332014
1918,3,Arizona,0.356613398
1918,4,Arkansas,0.377164006
1918,5,California,0.41719532
1918,6,Colorado,0.3398242
1918,7,Connecticut,0.460177004
1918,8,Delaware,0.569236517
1918,9,District of Columbia,0.438614786
1918,10,Florida,0.382938743
1918,11,Georgia,0.392978072
1918,13,Idaho,0.303747654
1918,14,Illinois,0.447603881
1918,15,Indiana,0.330549479
1918,16,Iowa,0.300823569
1918,17,Kansas,0.324391186
1918,18,Kentucky,0.405143052
1918,19,Louisiana,0.466577291
1918,20,Maine,0.413119584
1918,21,Maryland,0.422967911
1918,22,Massachusetts,0.502454996
1918,23,Michigan,0.427059799
1918,24,Minnesota,0.380131602
1918,25,Mississippi,0.377701074
1918,26,Missouri,0.420136899
1918,27,Montana,0.317430645
1918,28,Nebraska,0.30535835
1918,29,Nevada,0.282699496
1918,30,New Hampshire,0.425213128
1918,31,New Jersey,0.433433712
1918,32,New Mexico,0.28840059
1918,33,New York,0.557675481
1918,34,North Carolina,0.42341578
1918,35,North Dakota,0.287734866
1918,36,Ohio,0.406634897
1918,37,Oklahoma,0.364856601
1918,38,Oregon,0.392495483
1918,39,Pennsylvania,0.445582688
1918,40,Rhode Island,0.529801965
1918,41,South Carolina,0.349952251
1918,42,South Dakota,0.270468712
1918,43,Tennessee,0.397225022
1918,44,Texas,0.411279231
1918,45,Utah,0.340239882
1918,46,Vermont,0.439484268
1918,47,Virginia,0.38419804
1918,48,Washington,0.336607665
1918,49,West Virginia,0.353016675
1918,50,Wisconsin,0.391591191
1918,51,Wyoming,0.428132176
1919,0,United States,0.455600679
1919,1,Alabama,0.38915655
1919,3,Arizona,0.347709239
1919,4,Arkansas,0.367663682
1919,5,California,0.437413841
1919,6,Colorado,0.391209453
1919,7,Connecticut,0.460417479
1919,8,Delaware,0.55292803
1919,9,District of Columbia,0.45005852
1919,10,Florida,0.40029037
1919,11,Georgia,0.396407425
1919,13,Idaho,0.322077006
1919,14,Illinois,0.439445496
1919,15,Indiana,0.359885097
1919,16,Iowa,0.320842624
1919,17,Kansas,0.337450117
1919,18,Kentucky,0.374120116
1919,19,Louisiana,0.49240911
1919,20,Maine,0.404019713
1919,21,Maryland,0.452828676
1919,22,Massachusetts,0.49811849
1919,23,Michigan,0.456963956
1919,24,Minnesota,0.406322211
1919,25,Mississippi,0.440834343
1919,26,Missouri,0.440644234
1919,27,Montana,0.309132665
1919,28,Nebraska,0.361092716
1919,29,Nevada,0.30995357
1919,30,New Hampshire,0.401193321
1919,31,New Jersey,0.437443346
1919,32,New Mexico,0.318574041
1919,33,New York,0.565217495
1919,34,North Carolina,0.435484737
1919,35,North Dakota,0.297037065
1919,36,Ohio,0.446834087
1919,37,Oklahoma,0.392820269
1919,38,Oregon,0.419101179
1919,39,Pennsylvania,0.474481046
1919,40,Rhode Island,0.516762435
1919,41,South Carolina,0.366627276
1919,42,South Dakota,0.303474039
1919,43,Tennessee,0.432377219
1919,44,Texas,0.416900873
1919,45,Utah,0.337838173
1919,46,Vermont,0.437956244
1919,47,Virginia,0.389563113
1919,48,Washington,0.388324738
1919,49,West Virginia,0.392063558
1919,50,Wisconsin,0.393088073
1919,51,Wyoming,0.341817886
1920,0,United States,0.402205765
1920,1,Alabama,0.344490826
1920,3,Arizona,0.272453666
1920,4,Arkansas,0.322945982
1920,5,California,0.391605526
1920,6,Colorado,0.34627983
1920,7,Connecticut,0.399104595
1920,8,Delaware,0.396182746
1920,9,District of Columbia,0.389021128
1920,10,Florida,0.38356629
1920,11,Georgia,0.360348642
1920,13,Idaho,0.268457711
1920,14,Illinois,0.416761696
1920,15,Indiana,0.333521277
1920,16,Iowa,0.354970843
1920,17,Kansas,0.34106636
1920,18,Kentucky,0.377804488
1920,19,Louisiana,0.395124227
1920,20,Maine,0.377156943
1920,21,Maryland,0.408650726
1920,22,Massachusetts,0.423595965
1920,23,Michigan,0.387432992
1920,24,Minnesota,0.378630221
1920,25,Mississippi,0.345527858
1920,26,Missouri,0.418482423
1920,27,Montana,0.256498486
1920,28,Nebraska,0.353852898
1920,29,Nevada,0.254269481
1920,30,New Hampshire,0.365436047
1920,31,New Jersey,0.403340727
1920,32,New Mexico,0.268190891
1920,33,New York,0.472483724
1920,34,North Carolina,0.42466256
1920,35,North Dakota,0.286495656
1920,36,Ohio,0.391581148
1920,37,Oklahoma,0.391349465
1920,38,Oregon,0.360378712
1920,39,Pennsylvania,0.427326977
1920,40,Rhode Island,0.47553879
1920,41,South Carolina,0.351559371
1920,42,South Dakota,0.325062901
1920,43,Tennessee,0.399434924
1920,44,Texas,0.342037052
1920,45,Utah,0.291074753
1920,46,Vermont,0.400752634
1920,47,Virginia,0.359290093
1920,48,Washington,0.318385631
1920,49,West Virginia,0.337500602
1920,50,Wisconsin,0.389081061
1920,51,Wyoming,0.242974967
1921,0,United States,0.41332832
1921,1,Alabama,0.343968242
1921,3,Arizona,0.231430054
1921,4,Arkansas,0.353878379
1921,5,California,0.401281387
1921,6,Colorado,0.388668507
1921,7,Connecticut,0.440164328
1921,8,Delaware,0.396805227
1921,9,District of Columbia,0.402097106
1921,10,Florida,0.398388863
1921,11,Georgia,0.368657738
1921,13,Idaho,0.29245609
1921,14,Illinois,0.397783428
1921,15,Indiana,0.349413186
1921,16,Iowa,0.322968096
1921,17,Kansas,0.35802722
1921,18,Kentucky,0.389269352
1921,19,Louisiana,0.378880531
1921,20,Maine,0.393801987
1921,21,Maryland,0.444134593
1921,22,Massachusetts,0.441925615
1921,23,Michigan,0.411264092
1921,24,Minnesota,0.378427923
1921,25,Mississippi,0.4073385
1921,26,Missouri,0.395468056
1921,27,Montana,0.308190972
1921,28,Nebraska,0.374621212
1921,29,Nevada,0.309753776
1921,30,New Hampshire,0.380125076
1921,31,New Jersey,0.422590673
1921,32,New Mexico,0.308202386
1921,33,New York,0.476017147
1921,34,North Carolina,0.379861563
1921,35,North Dakota,0.313823581
1921,36,Ohio,0.399552345
1921,37,Oklahoma,0.352839351
1921,38,Oregon,0.372808307
1921,39,Pennsylvania,0.414112538
1921,40,Rhode Island,0.472835541
1921,41,South Carolina,0.347172648
1921,42,South Dakota,0.352025926
1921,43,Tennessee,0.396943539
1921,44,Texas,0.357056886
1921,45,Utah,0.333749056
1921,46,Vermont,0.395134389
1921,47,Virginia,0.36261344
1921,48,Washington,0.389955461
1921,49,West Virginia,0.359123856
1921,50,Wisconsin,0.413425744
1921,51,Wyoming,0.31101802
1922,0,United States,0.440118968
1922,1,Alabama,0.374481022
1922,3,Arizona,0.327834427
1922,4,Arkansas,0.39271903
1922,5,California,0.41126132
1922,6,Colorado,0.410469562
1922,7,Connecticut,0.437403649
1922,8,Delaware,0.391823947
1922,9,District of Columbia,0.411999583
1922,10,Florida,0.415551662
1922,11,Georgia,0.377958626
1922,13,Idaho,0.295364767
1922,14,Illinois,0.447446078
1922,15,Indiana,0.369434804
1922,16,Iowa,0.307837218
1922,17,Kansas,0.372367889
1922,18,Kentucky,0.412223518
1922,19,Louisiana,0.383274317
1922,20,Maine,0.410489857
1922,21,Maryland,0.449294686
1922,22,Massachusetts,0.49326387
1922,23,Michigan,0.429100662
1922,24,Minnesota,0.403665155
1922,25,Mississippi,0.393609434
1922,26,Missouri,0.422457755
1922,27,Montana,0.321901649
1922,28,Nebraska,0.365158975
1922,29,Nevada,0.30126217
1922,30,New Hampshire,0.408257723
1922,31,New Jersey,0.436514109
1922,32,New Mexico,0.322845101
1922,33,New York,0.512110293
1922,34,North Carolina,0.38496691
1922,35,North Dakota,0.316883802
1922,36,Ohio,0.420764506
1922,37,Oklahoma,0.421960473
1922,38,Oregon,0.386976957
1922,39,Pennsylvania,0.453250855
1922,40,Rhode Island,0.481873363
1922,41,South Carolina,0.363411844
1922,42,South Dakota,0.334992796
1922,43,Tennessee,0.405967236
1922,44,Texas,0.371356368
1922,45,Utah,0.335218221
1922,46,Vermont,0.421357363
1922,47,Virginia,0.384144604
1922,48,Washington,0.338341594
1922,49,West Virginia,0.394459277
1922,50,Wisconsin,0.412249833
1922,51,Wyoming,0.339329034
1923,0,United States,0.419221699
1923,1,Alabama,0.382722318
1923,3,Arizona,0.316791743
1923,4,Arkansas,0.37909165
1923,5,California,0.414620131
1923,6,Colorado,0.377662927
1923,7,Connecticut,0.436476827
1923,8,Delaware,0.419100404
1923,9,District of Columbia,0.468911916
1923,10,Florida,0.42020905
1923,11,Georgia,0.373677939
1923,13,Idaho,0.295539021
1923,14,Illinois,0.422855109
1923,15,Indiana,0.35305801
1923,16,Iowa,0.334314674
1923,17,Kansas,0.317372262
1923,18,Kentucky,0.397999614
1923,19,Louisiana,0.385887414
1923,20,Maine,0.399468392
1923,21,Maryland,0.467084259
1923,22,Massachusetts,0.446908593
1923,23,Michigan,0.399964869
1923,24,Minnesota,0.405791283
1923,25,Mississippi,0.391188025
1923,26,Missouri,0.410616428
1923,27,Montana,0.300100386
1923,28,Nebraska,0.35399124
1923,29,Nevada,0.304761082
1923,30,New Hampshire,0.370395273
1923,31,New Jersey,0.435754031
1923,32,New Mexico,0.303040922
1923,33,New York,0.481869698
1923,34,North Carolina,0.395868093
1923,35,North Dakota,0.29680866
1923,36,Ohio,0.386563957
1923,37,Oklahoma,0.377538234
1923,38,Oregon,0.352756202
1923,39,Pennsylvania,0.426159829
1923,40,Rhode Island,0.441236585
1923,41,South Carolina,0.409423828
1923,42,South Dakota,0.319407731
1923,43,Tennessee,0.390228361
1923,44,Texas,0.357951999
1923,45,Utah,0.339154959
1923,46,Vermont,0.401120126
1923,47,Virginia,0.36335355
1923,48,Washington,0.326043457
1923,49,West Virginia,0.364706993
1923,50,Wisconsin,0.378074437
1923,51,Wyoming,0.309806734
1924,0,United States,0.443935066
1924,1,Alabama,0.393101782
1924,3,Arizona,0.342791885
1924,4,Arkansas,0.382588238
1924,5,California,0.424569696
1924,6,Colorado,0.399340093
1924,7,Connecticut,0.476465553
1924,8,Delaware,0.493469596
1924,9,District of Columbia,0.421082765
1924,10,Florida,0.473021686
1924,11,Georgia,0.390281379
1924,13,Idaho,0.31906566
1924,14,Illinois,0.438799977
1924,15,Indiana,0.394228667
1924,16,Iowa,0.375396699
1924,17,Kansas,0.367390275
1924,18,Kentucky,0.416563392
1924,19,Louisiana,0.412337959
1924,20,Maine,0.432603538
1924,21,Maryland,0.43440789
1924,22,Massachusetts,0.48475346
1924,23,Michigan,0.428377688
1924,24,Minnesota,0.412070781
1924,25,Mississippi,0.39059782
1924,26,Missouri,0.427239329
1924,27,Montana,0.316405028
1924,28,Nebraska,0.363873124
1924,29,Nevada,0.323787957
1924,30,New Hampshire,0.415213078
1924,31,New Jersey,0.439687103
1924,32,New Mexico,0.328916728
1924,33,New York,0.508375406
1924,34,North Carolina,0.407649457
1924,35,North Dakota,0.315039366
1924,36,Ohio,0.43360728
1924,37,Oklahoma,0.400212914
1924,38,Oregon,0.376901627
1924,39,Pennsylvania,0.442536116
1924,40,Rhode Island,0.473363638
1924,41,South Carolina,0.378467798
1924,42,South Dakota,0.287989318
1924,43,Tennessee,0.408183157
1924,44,Texas,0.379054576
1924,45,Utah,0.35304603
1924,46,Vermont,0.406416148
1924,47,Virginia,0.395938665
1924,48,Washington,0.33387807
1924,49,West Virginia,0.383728355
1924,50,Wisconsin,0.405878216
1924,51,Wyoming,0.324435174
1925,0,United States,0.519551396
1925,1,Alabama,0.431693166
1925,3,Arizona,0.383647829
1925,4,Arkansas,0.438577622
1925,5,California,0.477047205
1925,6,Colorado,0.445891947
1925,7,Connecticut,0.541858077
1925,8,Delaware,0.610778511
1925,9,District of Columbia,0.494218469
1925,10,Florida,0.553238869
1925,11,Georgia,0.451963365
1925,13,Idaho,0.334210336
1925,14,Illinois,0.512346208
1925,15,Indiana,0.462550759
1925,16,Iowa,0.434779078
1925,17,Kansas,0.405237317
1925,18,Kentucky,0.452691197
1925,19,Louisiana,0.443817645
1925,20,Maine,0.516018748
1925,21,Maryland,0.507272303
1925,22,Massachusetts,0.552222908
1925,23,Michigan,0.523962557
1925,24,Minnesota,0.447034568
1925,25,Mississippi,0.426814348
1925,26,Missouri,0.503455758
1925,27,Montana,0.346992046
1925,28,Nebraska,0.40665096
1925,29,Nevada,0.363182396
1925,30,New Hampshire,0.457698822
1925,31,New Jersey,0.511653066
1925,32,New Mexico,0.370620877
1925,33,New York,0.596179605
1925,34,North Carolina,0.46203661
1925,35,North Dakota,0.335159361
1925,36,Ohio,0.488025904
1925,37,Oklahoma,0.508223474
1925,38,Oregon,0.418485731
1925,39,Pennsylvania,0.526364326
1925,40,Rhode Island,0.544466257
1925,41,South Carolina,0.375834078
1925,42,South Dakota,0.312468648
1925,43,Tennessee,0.455778301
1925,44,Texas,0.42168808
1925,45,Utah,0.403353155
1925,46,Vermont,0.459775329
1925,47,Virginia,0.436693102
1925,48,Washington,0.381397843
1925,49,West Virginia,0.431410402
1925,50,Wisconsin,0.447488487
1925,51,Wyoming,0.374100864
1926,0,United States,0.522656679
1926,1,Alabama,0.448943973
1926,3,Arizona,0.39649865
1926,4,Arkansas,0.428454369
1926,5,California,0.514252126
1926,6,Colorado,0.458782703
1926,7,Connecticut,0.540903687
1926,8,Delaware,0.671886683
1926,9,District of Columbia,0.498609006
1926,10,Florida,0.522476673
1926,11,Georgia,0.449646056
1926,13,Idaho,0.319237649
1926,14,Illinois,0.517956257
1926,15,Indiana,0.494593114
1926,16,Iowa,0.422280818
1926,17,Kansas,0.427598983
1926,18,Kentucky,0.459651381
1926,19,Louisiana,0.439115167
1926,20,Maine,0.530280411
1926,21,Maryland,0.519688725
1926,22,Massachusetts,0.541411519
1926,23,Michigan,0.530382574
1926,24,Minnesota,0.48386699
1926,25,Mississippi,0.411901236
1926,26,Missouri,0.501052737
1926,27,Montana,0.3761338
1926,28,Nebraska,0.395772874
1926,29,Nevada,0.374529481
1926,30,New Hampshire,0.473819643
1926,31,New Jersey,0.510665417
1926,32,New Mexico,0.383579522
1926,33,New York,0.583842695
1926,34,North Carolina,0.477772593
1926,35,North Dakota,0.368446052
1926,36,Ohio,0.512257576
1926,37,Oklahoma,0.502278745
1926,38,Oregon,0.431978643
1926,39,Pennsylvania,0.530092955
1926,40,Rhode Island,0.546211898
1926,41,South Carolina,0.383408964
1926,42,South Dakota,0.358666003
1926,43,Tennessee,0.470571756
1926,44,Texas,0.454988599
1926,45,Utah,0.434502989
1926,46,Vermont,0.456517577
1926,47,Virginia,0.457461447
1926,48,Washington,0.382199764
1926,49,West Virginia,0.444367528
1926,50,Wisconsin,0.477001756
1926,51,Wyoming,0.378063351
1927,0,United States,0.5394454
1927,1,Alabama,0.454792589
1927,3,Arizona,0.421606004
1927,4,Arkansas,0.441536427
1927,5,California,0.510912538
1927,6,Colorado,0.48077023
1927,7,Connecticut,0.560083568
1927,8,Delaware,0.731057942
1927,9,District of Columbia,0.510492325
1927,10,Florida,0.503742576
